127.0.0.1 - - [27/May/2022:09:27:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/May/2022:09:27:49 +0900] "GET /ch01-HTML/ch01-basic/s09_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:09:27:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2022:09:35:30 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [27/May/2022:09:35:30 +0900] "GET /ch01-HTML/images/landscape.jpg HTTP/1.1" 200 49189
0:0:0:0:0:0:0:1 - - [27/May/2022:09:37:23 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [27/May/2022:09:40:16 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [27/May/2022:09:44:03 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/May/2022:09:47:03 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [27/May/2022:09:47:30 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [27/May/2022:09:47:54 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [27/May/2022:09:48:49 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [27/May/2022:09:49:11 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [27/May/2022:10:02:52 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [27/May/2022:10:03:05 +0900] "GET /ch01-HTML/ch01-basic/s10_table.html HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [27/May/2022:10:21:25 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [27/May/2022:10:21:25 +0900] "GET /ch01-HTML/images/%EC%B9%A8%EC%B0%A9%EB%A7%A8.jpg HTTP/1.1" 200 55934
0:0:0:0:0:0:0:1 - - [27/May/2022:10:21:41 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [27/May/2022:10:21:54 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [27/May/2022:10:21:54 +0900] "GET /ch01-HTML/images/%EC%B9%A8%EC%B0%A9%EB%A7%A8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:10:22:19 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:10:22:19 +0900] "GET /ch01-HTML/images/%EC%B9%A8%EC%B0%A9%EB%A7%A8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:10:22:22 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:10:22:23 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:10:22:24 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:10:22:24 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:10:22:24 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
