127.0.0.1 - - [02/Jun/2022:09:16:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:16:45 +0900] "GET /ch01-HTML/ch10-cssColor/s04_background.html HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:16:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:22:59 +0900] "GET /ch01-HTML/ch10-cssColor/s04_background.html HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:22:59 +0900] "GET /ch01-HTML/images/landscape.jpg HTTP/1.1" 200 49189
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:25:26 +0900] "GET /ch01-HTML/ch10-cssColor/s04_background.html HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:27:23 +0900] "GET /ch01-HTML/ch10-cssColor/s04_background.html HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:29:35 +0900] "GET /ch01-HTML/ch10-cssColor/s04_background.html HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:31:29 +0900] "GET /ch01-HTML/ch10-cssColor/s04_background.html HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:35:02 +0900] "GET /ch01-HTML/ch10-cssColor/s04_background.html HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:35:03 +0900] "GET /ch01-HTML/ch10-cssColor/s04_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:36:09 +0900] "GET /ch01-HTML/ch10-cssColor/s04_background.html HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [02/Jun/2022:09:36:33 +0900] "GET /ch01-HTML/ch10-cssColor/s04_background.html HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [02/Jun/2022:10:05:03 +0900] "GET /ch01-HTML/ch11-cssBox/s01_box.html HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [02/Jun/2022:10:17:04 +0900] "GET /ch01-HTML/ch11-cssBox/s01_box.html HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [02/Jun/2022:10:18:28 +0900] "GET /ch01-HTML/ch11-cssBox/s01_box.html HTTP/1.1" 200 1435
